STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:031952,DE QUEEN DAM AR US,169.8,34.09917,-94.37389,19811016 07:00,8, , 
COOP:031952,DE QUEEN DAM AR US,169.8,34.09917,-94.37389,19811016 08:00,11, , 
COOP:031952,DE QUEEN DAM AR US,169.8,34.09917,-94.37389,19811016 09:00,16, , 
COOP:031952,DE QUEEN DAM AR US,169.8,34.09917,-94.37389,19811016 10:00,15, , 
COOP:031952,DE QUEEN DAM AR US,169.8,34.09917,-94.37389,19811016 11:00,7, , 
COOP:031952,DE QUEEN DAM AR US,169.8,34.09917,-94.37389,19811016 12:00,8, , 
COOP:031952,DE QUEEN DAM AR US,169.8,34.09917,-94.37389,19811017 07:00,9, , 
COOP:031952,DE QUEEN DAM AR US,169.8,34.09917,-94.37389,19811017 16:00,6, , 
COOP:031952,DE QUEEN DAM AR US,169.8,34.09917,-94.37389,19811017 17:00,2, , 
COOP:035320,NORTH LITTLE ROCK AIRPORT AR US,171.6,34.83333,-92.26667,19811007 09:00,1, , 
COOP:035320,NORTH LITTLE ROCK AIRPORT AR US,171.6,34.83333,-92.26667,19811007 10:00,1, , 
COOP:035320,NORTH LITTLE ROCK AIRPORT AR US,171.6,34.83333,-92.26667,19811007 11:00,1, , 
COOP:035320,NORTH LITTLE ROCK AIRPORT AR US,171.6,34.83333,-92.26667,19811007 14:00,1, , 
COOP:035320,NORTH LITTLE ROCK AIRPORT AR US,171.6,34.83333,-92.26667,19811007 15:00,1, , 
COOP:035320,NORTH LITTLE ROCK AIRPORT AR US,171.6,34.83333,-92.26667,19811007 17:00,1, , 
COOP:035320,NORTH LITTLE ROCK AIRPORT AR US,171.6,34.83333,-92.26667,19811007 18:00,1, , 
COOP:035320,NORTH LITTLE ROCK AIRPORT AR US,171.6,34.83333,-92.26667,19811007 19:00,1, , 
COOP:035320,NORTH LITTLE ROCK AIRPORT AR US,171.6,34.83333,-92.26667,19811009 04:00,2, , 
